openbeta_id,source_name,source_type,source_grade,source_path,source_crag,latitude,longitude,namesake_count_same_country_state,nearest_namesake_id,nearest_namesake_name,nearest_namesake_path,nearest_namesake_crag,nearest_namesake_latitude,nearest_namesake_longitude,nearest_namesake_distance_km,non_generic_name,named_source_and_namesake_crags,all_namesake_crags_distinct,no_cross_level_area_alias,all_namesake_gps_present,all_namesakes_over_20km,no_exact_named_bb_candidate,non_generic_feature_name,non_placeholder_or_descriptive_name
06a9755e-dbff-5a34-995d-22d182f16d6d,Tombstone,boulder,V3,United States > Virginia > Southwest Virginia (Appalachia) > Grayson Highlands State Park > Picnic Area,Picnic Area,36.62785,-81.48208,2,c61b6d09-8851-59fd-ad47-a91ac28fd251,Tombstone,United States > Virginia > Southwest Virginia (Appalachia) > Guest River Gorge > (6) Jaybird Gorge,(6) Jaybird Gorge,36.89939,-82.41867,88.726,True,True,True,True,True,True,True,True,True
06c7b0ed-762d-5312-8e61-28cf6373136b,Walk on water,sport,5.8,United States > Nevada > Southern Nevada > Mormon Mountains > Campsite Canyon,Campsite Canyon,36.9095,-114.29276,1,95dce717-5d34-5f7c-88b8-fe7b7d86b5ac,Walk on Water,United States > Nevada > Southern Nevada > Mount Charleston > Kyle Canyon,Kyle Canyon,36.25541,-115.64905,141.262,True,True,True,True,True,True,True,True,True
0868e19c-3a39-5905-bede-7e6ae952c2c5,Repo man,trad,5.11-,United States > Utah > Southeast Utah > Indian Creek > Public Service Wall,Public Service Wall,38.10607,-109.57106,1,02a0f7fe-86d0-51ab-bc81-c6375afb32c0,Repo Man,United States > Utah > Southeast Utah > Little Valley > Bull Canyon,Bull Canyon,38.61827,-109.67517,57.673,True,True,True,True,True,True,True,True,True
08f0c22b-b40f-5dc2-8b54-1a1ca3c923f1,Jelly Belly,boulder,V8-,United States > Massachusetts > North Shore > Cape Ann > Cavalry Boulder Field aka Gymnasium aka Playground,Cavalry Boulder Field aka Gymnasium aka Playground,42.6344,-70.67065,1,38f9dd05-f49c-5ea5-9be4-965a5eb4dd04,Jelly Belly,United States > Massachusetts > North Shore > Lynn Woods > Greater Lynn Woods Area,Greater Lynn Woods Area,42.49727,-70.97562,29.262,True,True,True,True,True,True,True,True,True
09c9f70c-9337-595a-b482-14a151ce1980,For Love of Mother Not,trad,5.6,United States > Colorado > Golden > North Table Mountain/Golden Cliffs > Hot Spot Area,Hot Spot Area,39.76954,-105.22012,1,3dcf3ad0-0d98-5269-901e-a04ebc40425d,For Love of Mothernot,United States > Colorado > Golden > Golden Gate Canyon SP > Mt. Thorodin,Mt. Thorodin,39.88318,-105.43165,22.045,True,True,True,True,True,True,True,True,True
0a0ab0bb-375c-57c5-a35e-40d71c391856,Bottom Feeder,boulder,V3,United States > Virginia > Southwest Virginia (Appalachia) > Atkins Bouldering > Roadside Boulders,Roadside Boulders,36.911,-81.45,2,a1faa57f-e92b-5bf0-9ddd-d6938587a849,Bottom Feeder,United States > Virginia > Southwest Virginia (Appalachia) > Grayson Highlands State Park > Boneyard Area,Boneyard Area,36.61272,-81.49442,33.402,True,True,True,True,True,True,True,True,True
0a402ba3-da64-5a54-8f5c-8ac1262dfa18,Burnt Toast,sport,5.7,"United States > Colorado > Canon City > Shelf Road > Bank, The","Bank, The",38.63157,-105.22818,2,4feabe88-7752-5c9a-929c-e833282c0cce,Burnt Toast,"United States > Colorado > San Luis Valley > Promised Land, The > Main Wall",Main Wall,37.5738,-106.31775,151.402,True,True,True,True,True,True,True,True,True
0b095eaf-01c5-5f82-aaf4-5d984212c872,Happy Hour,boulder,V3,United States > Massachusetts > North Shore > Cape Ann > Dyke's Pond (Gloucester),Dyke's Pond (Gloucester),42.61678,-70.73892,1,1b7a7f54-ba0d-5fda-8221-0cabfeb8285a,Happy Hour,United States > Massachusetts > North Shore > Lynn Woods > Greater Lynn Woods Area,Greater Lynn Woods Area,42.50997,-71.02564,26.315,True,True,True,True,True,True,True,True,True
0bf5c6d9-30cf-5355-9fa3-144ede352e5f,Bar Fly,sport,5.10b,United States > California > Lake Tahoe > I-80 Corridor > Auburn and Grass Valley,Auburn and Grass Valley,38.91902,-121.007,2,2e555c50-7e78-5cd5-8401-ecd41c92dd53,Bar Fly,United States > California > Lake Tahoe > South Shore > Luther Rock,Luther Rock,38.80522,-120.00333,87.817,True,True,True,True,True,True,True,True,True
0c636486-6cf1-5cad-bcd2-c24d8e5e0301,White Trash,sport,5.13a/b,United States > California > Sierra Eastside > Bishop Area > Pine Creek Canyon,Pine Creek Canyon,37.38521,-118.68031,5,c15f6f20-7786-5e64-b88c-56e8116a8d33,White Trash,United States > California > Yosemite National Park > Tuolumne Meadows > Drug Dome,Drug Dome,37.86461,-119.42215,84.321,True,True,True,True,True,True,True,True,True
